wallet,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,borrowed_usd,repaid_usd,repay_borrow_ratio,active_days,transaction_diversity,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,0,0,0,0,0.0,0.0,0.0,1,1,121.0
0x000000000051d07a4fb3bd10121a343d85818da6,1,0,0,0,0,0.0,0.0,0.0,1,1,121.0
0x000000000096026fb41fc39f9875d164bd82e2dc,2,0,0,0,0,0.0,0.0,0.0,2,1,122.0
0x0000000000e189dd664b9ab08a33c4839953852c,0,0,0,17,0,0.0,0.0,0.0,8,1,128.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,250,15,4,130,0,60297.62086214079,7.015026379074076e-08,0.26666666666666666,104,4,306.6666666666667
0x000000000a38444e0a6e37d3b630d7e855a7cb13,7,8,5,5,0,1.1631431210321323e-08,1.1640280239622172e-08,0.625,15,4,257.5
0x000000003853fcedcd0355fec98ca3192833f00b,8,0,0,0,0,0.0,0.0,0.0,4,1,124.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,309,30,16,137,0,132415.7609026383,339.8128730609445,0.5333333333333333,108,4,333.33333333333337
0x000000007858e6f2668e1e06111cfa24403a5466,1,0,0,0,0,0.0,0.0,0.0,1,1,121.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,0,0,0,0,0.0,0.0,0.0,1,1,121.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,26,24,9,10,0,597501.9617796154,597568.679828446,0.375,3,4,220.5
0x00000029ff545c86524ade7caf132527707948c4,12,12,12,11,0,1759512.5948094137,1743593.934185973,1.0,2,4,282.0
0x00000087c4cebffb95746d1935de7fbcab092f40,86,62,45,57,0,23164.201034194215,1199.1513226122327,0.7258064516129032,19,4,271.5806451612903
0x000000e28faa823d5b53ff6c2922c28335840375,107,66,63,61,0,2559678.8392218025,1852344.0568145649,0.9545454545454546,61,4,336.45454545454544
0x000006eee6e39015cb523aebdd4d0b1855aba682,11,4,1,9,3,23007.05925998673,23151.274780815504,0.25,12,5,87.0
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,0,0,0,0,0.0,0.0,0.0,1,1,121.0
0x00001bc47f0973f794f79c16121cee879e272d6a,0,0,0,4,0,0.0,0.0,0.0,4,1,124.0
0x00002b503a75998c97508916a74fdb41934fa030,27,47,45,28,0,617898.1819947748,427147.7856461841,0.9574468085106383,35,4,310.74468085106383
0x0000897253cc85f7547317eb2080b36b3255687a,1,0,0,1,0,0.0,0.0,0.0,2,2,142.0
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,0,0,0,0,0.0,0.0,0.0,1,1,121.0
0x0000ce08fa224696a819877070bf378e8b131acf,3,1,0,10,0,1257.9326580280358,0.0,0.0,8,3,168.0
0x00010a708585ba4812a1c5976182626c75cb7a6b,9,6,7,7,0,302.68740162206376,302.3626743599302,1.1666666666666667,11,4,307.6666666666667
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,0,0,0,0,0.0,0.0,0.0,2,1,122.0
0x0002761e848b24046a53d494847b11a3e1d36b09,1,0,0,0,0,0.0,0.0,0.0,1,1,121.0
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,0,0,0,0,0.0,0.0,0.0,2,1,122.0
0x0003816b25fd3d6c112eb65c089760fa3f791947,1,1,1,1,0,2946.5930000000017,2946.9505000000063,1.0,1,4,281.0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,12,5,0,20,0,9.174028183810866e-10,0.0,0.0,20,3,180.0
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,1,0,0,1,0,0.0,0.0,0.0,1,2,141.0
